X,Y,record_id,street_num,street_dir,street_name,street_type,date_status,description,owner_name,contractor_name,contractor_business_name,contractor_address,task,status,parcel_id,lon,lat,ObjectId
-82.993285,42.403636,DEM2019-01082,11000, ,CHELSEA, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21008038,-82.993285,42.403636,11
,,DEM2019-01083,11703, ,WADE, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,12
-82.99339,42.403612,DEM2019-01084,10994, ,CHELSEA, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21008039,-82.99339,42.403612,13
-82.994376,42.404865,DEM2019-01085,11011,,Wilshire,,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21008514,-82.994376,42.404865,14
-82.988644,42.405238,DEM2019-01086,11864, ,CHELSEA, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21007994,-82.988644,42.405238,15
,,DEM2019-01087,11714, ,WADE, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,16
-82.988167,42.399745,DEM2019-01088,11719, ,CAMDEN, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21005848,-82.988167,42.399745,17
-82.99425,42.404916,DEM2019-01089,11021, ,WILSHIRE, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21008515,-82.99425,42.404916,18
-82.992124,42.403281,DEM2019-01094,11033, ,LONGVIEW, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,21007659,-82.992124,42.403281,19
,,DEM2019-01095,11318,,Wade,,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,20
-83.072003,42.40577,DEM2019-01097,2038, ,HALLECK, ,2019/03/19 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9005567,-83.072003,42.40577,21
-82.965025,42.433279,DEM2019-00188,18804, ,HAYES, ,2019/01/08 00:00:00+00,WRECK & REMOVE DEBRIS,DETROIT LAND BANK AUTHORITY, ,DMC CONSULTANTS INC   2019 (W),13500 FOLEY,Permit Issuance,Issued,,-82.965025,42.433279,22
-83.081128,42.414536,DEM2019-01098,14127, ,DEQUINDRE, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9016977,-83.081128,42.414536,23
-83.082183,42.423188,DEM2019-01099,17578, ,DEQUINDRE, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9016290,-83.082183,42.423188,24
-83.07911,42.411592,DEM2019-01100,13559, ,DEQUINDRE, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9017007,-83.07911,42.411592,25
-83.079064,42.411517,DEM2019-01101,13553, ,DEQUINDRE, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9017008,-83.079064,42.411517,26
-83.07303,42.406566,DEM2019-01102,2011, ,MCLEAN, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9005732,-83.07303,42.406566,27
-83.073503,42.406397,DEM2019-01103,1979, ,MCLEAN, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9005728,-83.073503,42.406397,28
-83.071876,42.406148,DEM2019-01104,2051, ,HALLECK, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9005607,-83.071876,42.406148,29
-83.070094,42.406454,DEM2019-01105,2146, ,HALLECK, ,2019/02/21 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",1224 LOCUST ST,Permit Issuance,Issued,9005546,-83.070094,42.406454,30
-83.176934,42.396065,DEM2019-01106,14581, ,SNOWDEN, ,2019/02/26 00:00:00+00,Wreck and Remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22028329,-83.176934,42.396065,31
-83.164963,42.404564,DEM2019-01107,15422, ,MENDOTA, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,16042896,-83.164963,42.404564,32
-83.189055,42.39854,DEM2019-01108,14907,,Hubbell,,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22040013,-83.189055,42.39854,33
,,DEM2019-01109,15000, ,HUBBELL, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,34
,,DEM2019-01110,14968, ,LITTLEFIELD, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,35
-83.174277,42.379214,DEM2019-01111,12322, ,CHEYENNE, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22025721,-83.174277,42.379214,36
-83.175533,42.399805,DEM2019-01112,14974, ,LITTLEFIELD, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22026763,-83.175533,42.399805,37
-83.18057,42.404971,DEM2019-01113,15475, ,TRACEY, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22031883,-83.18057,42.404971,38
-83.176152,42.402585,DEM2019-01114,15325, ,LITTLEFIELD, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22027308,-83.176152,42.402585,39
-83.193996,42.39914,DEM2019-01115,14961, ,COYLE, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22045492,-83.193996,42.39914,40
-83.185432,42.404832,DEM2019-01116,15474, ,FREELAND, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22035652,-83.185432,42.404832,41
-82.97563,42.402071,BLD2018-10014,12724,,EVANSTON,,2019/01/24 00:00:00+00,WRECK AND REMOVE DEBRIS,DETROIT LAND BANK AUTHORITY, ,MCDONAGH DEMOLITION,7243 W TOUHY AVENUE,Permit Issuance,Issued,21005049,-82.97563,42.402071,42
-83.089539,42.436105,DEM2019-01353,19362,,Hanna,,2019/03/14 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,9020252,-83.089539,42.436105,43
-83.017796,42.386271,BLD2017-05084,6145,,MAXWELL,,2019/09/26 00:00:00+00,HHF 5.26.17 (B)   WRECK AND REMOVE,DETROIT LAND BANK AUTHORITY,Scott Krall,BLUE STAR INC,21950 HOOVER,Permit Issuance,Issued,17008503,-83.017796,42.386271,44
-83.19382,42.39537,BLD2018-09683,14563,,COYLE,,2019/01/25 00:00:00+00,MULTI UNIT    WRECK AND REMOVE,DETROIT LAND BANK AUTHORITY," SMALLEY CONSTRUCTION, INC (W)","SMALLEY CONSTRUCTION, INC (W)",131 S. MAIN ST,Permit Issuance,Issued,22045515,-83.19382,42.39537,45
-83.170008,42.386603,BLD2018-08347,13551,,APPOLINE,,2020/11/10 00:00:00+00,WRECK AND REMOVE DEBRIS,CITY OF DETROIT HOUSING REVITALIZATION,,GAYANGA CO.,1420 WASHINGTON BLVD,Permit Issuance,Issued,22021776,-83.170008,42.386603,46
,,DEM2019-01117,15331, ,CRUSE, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,47
-83.17489,42.398953,DEM2019-01118,14911, ,CHEYENNE, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22026158,-83.17489,42.398953,48
-83.197028,42.39747,DEM2019-01119,14848, ,PREST, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22048593,-83.197028,42.39747,49
-83.190997,42.398494,DEM2019-01120,14905, ,LAUDER, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22042418,-83.190997,42.398494,50
-83.181516,42.403699,DEM2019-01121,15397, ,LESURE, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22033210,-83.181516,42.403699,51
-83.185101,42.399838,DEM2019-01122,15002, ,FREELAND, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22035613,-83.185101,42.399838,52
-83.188641,42.404266,DEM2019-01123,15450, ,HUBBELL, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22039047.002,-83.188641,42.404266,53
,,DEM2019-01124,15000, ,WARD, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,54
-83.034756,42.353626,DEM2019-01125,2229,,ERSKINE,,2019/02/20 00:00:00+00,NA,BOOTSTRIP COLLECTIVE, ,"FARROW GROUP, INC. (2018)",601 BEAUFAIT ST,Permit Issuance,Issued,9001576,-83.034756,42.353626,55
-83.176649,42.400556,DEM2019-01128,15038, ,SNOWDEN, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22027740,-83.176649,42.400556,56
-83.184868,42.404945,DEM2019-01129,15481, ,ARDMORE, ,2019/02/26 00:00:00+00,Wreck  and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22035209,-83.184868,42.404945,57
-83.11855,42.304405,DEM2019-01130,1126,,CENTRAL,,2019/02/20 00:00:00+00,NA,ALFONSO LOPEZ, ,SIMPLY CONSTRUCTION /EXCAVATING LLC,20905 MAPLERIDGE,Permit Issuance,Issued,18009619,-83.11855,42.304405,58
,,DEM2019-01131,4750,,CONNOR,,2019/02/20 00:00:00+00,NA,BOBBY WHETSTONE, ,SIMPLY CONSTRUCTION /EXCAVATING LLC,20905 MAPLERIDGE,Permit Issuance,Issued,,,,59
-83.118505,42.3043,DEM2019-01132,1118, ,CENTRAL, ,2019/02/20 00:00:00+00,na,ALFONSO LOPEZ, ,SIMPLY CONSTRUCTION /EXCAVATING LLC,20905 MAPLERIDGE,Permit Issuance,Issued,18009618,-83.118505,42.3043,60
,,DEM2019-01133,14921, ,WARD, ,2019/02/26 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,61
-83.185875,42.405756,DEM2019-01134,15711, ,FREELAND, ,2019/02/26 00:00:00+00,Wrecking and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,22036193,-83.185875,42.405756,62
,,DEM2019-01135,4844, ,MICHIGAN,AVENUE,2019/02/21 00:00:00+00,na,CRESTWOOD INVESTMENT GROUP, ,PROFESSIONAL CONTRACTING & CONSULTI,16970 W WARREN,Permit Issuance,Issued,,,,63
-83.10019,42.418892,DEM2019-01136,81, ,EDGEVALE, ,2019/02/25 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,GAYANGA CO. (2018 WRCK),1420 WASHINGTON BLVD,Permit Issuance,Issued,1004504,-83.10019,42.418892,64
-83.044853,42.415628,DEM2019-01137,13409, ,SYRACUSE, ,2019/02/25 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,GAYANGA CO. (2018 WRCK),1420 WASHINGTON BLVD,Permit Issuance,Issued,13013965,-83.044853,42.415628,65
-82.987689,42.418864,DEM2019-01144,12668, ,GRATIOT, ,2019/02/25 00:00:00+00,"WRECK & REMOVE DEBRIS 
(COMPLETE DEMOLITION OF EXISTING BUILDING)",WEISON SAYKIS, ,"GIPSON BROTHERS TRUCKING, INC.2018",2918 EWALD CIRCLE,Permit Issuance,Issued,,-82.987689,42.418864,66
-83.079558,42.430945,DEM2019-01175,18829, ,FLEMING, ,2019/02/27 00:00:00+00,Wreck and remove,DETROIT LAND BANK AUTHORITY, ,LEADHEAD CONSTRUCTION LLC,41617 CUMMINGS LANE,Permit Issuance,Issued,9014794,-83.079558,42.430945,67
-83.115929,42.293232,DEM2019-01178,8117, ,THADDEUS, ,2019/02/27 00:00:00+00,wreck and remove,"BALAZS, OLGA", ,LEADHEAD CONSTRUCTION LLC,41617 CUMMINGS LANE,Permit Issuance,Issued,20000615,-83.115929,42.293232,68
,,DEM2019-01179,5661, ,ADDISON,STREET,2019/02/27 00:00:00+00,wreck and remove,FEDERAL NATIONAL MORTGAGE ASSOC, ,LEADHEAD CONSTRUCTION LLC,41617 CUMMINGS LANE,Permit Issuance,Issued,,,,69
-83.163378,42.396275,DEM2019-01180,14572, ,BIRWOOD, ,2019/02/27 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,LEADHEAD CONSTRUCTION LLC,41617 CUMMINGS LANE,Permit Issuance,Issued,16041942,-83.163378,42.396275,70
-83.265869,42.401177,DEM2019-01181,15341, ,BEAVERLAND, ,2019/02/28 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,"RICKMAN ENTERPRISE GROUP, LLC",15533 WOODROW WILSON,Permit Issuance,Issued,22118645,-83.265869,42.401177,71
-83.271046,42.402915,DEM2019-01182,15464, ,VIRGIL, ,2019/02/28 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,"RICKMAN ENTERPRISE GROUP, LLC",15533 WOODROW WILSON,Permit Issuance,Issued,22121037,-83.271046,42.402915,72
,,DEM2019-01183,15707, ,RIVERDALE,DRIVE,2019/02/28 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,"RICKMAN ENTERPRISE GROUP, LLC",15533 WOODROW WILSON,Permit Issuance,Issued,,,,73
-83.26353,42.405025,DEM2019-01184,15751, ,CHATHAM, ,2019/02/28 00:00:00+00,wreck and remove,"MILLER, HELENA", ,"RICKMAN ENTERPRISE GROUP, LLC",15533 WOODROW WILSON,Permit Issuance,Issued,22117159,-83.26353,42.405025,74
-83.030735,42.383825,DEM2019-01186,6455, ,CONCORD, ,2019/02/27 00:00:00+00,"WRECK & REMOVE RESIDENTIAL DWELLING,BACKFILL & REGRADE LAND.","WENDY GRIERSON - STRONG STEEL PRODUCTS, LLC", ,"FARROW GROUP, INC. (2018)",601 BEAUFAIT ST,Permit Issuance,Issued,15011561,-83.030735,42.383825,75
-83.030897,42.383939,DEM2019-01187,6467, ,CONCORD, ,2019/02/27 00:00:00+00,WRECK & REMOVE DEBRIS OF (2) FAMILY DWELLING AS INDICATED.,"WENDY GRIERSON - STRONG STEEL PRODUCTS, LLC", ,"FARROW GROUP, INC. (2018)",601 BEAUFAIT ST,Permit Issuance,Issued,15011559,-83.030897,42.383939,76
-83.013943,42.352584,DEM2019-01188,1816, ,MELDRUM, ,2019/02/27 00:00:00+00,"WRECK & REMOVE A SINGLE FAMILY DWELLING, APPROX 52' X 263' X 20' HIGH. BACKFILL W/CLEAN SOIL.",DIANE SIMPKINS, ,"FARROW GROUP, INC. (2018)",601 BEAUFAIT ST,Permit Issuance,Issued,15013532,-83.013943,42.352584,77
-83.102088,42.339381,DEM2019-01192,3863, ,BUCHANAN, ,2019/04/02 00:00:00+00,wreck and remove,"MCCOY, WILLIE", ,DORE & ASSOCIATES CONTRACTING,900 HARRY S TRUMAN PARKWAY,Permit Issuance,Issued,14000809,-83.102088,42.339381,78
-83.128396,42.369243,DEM2019-01193,9400, ,CASCADE, ,2019/04/02 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,DORE & ASSOCIATES CONTRACTING,900 HARRY S TRUMAN PARKWAY,Permit Issuance,Issued,14012352,-83.128396,42.369243,79
-83.163473,42.264386,DEM2019-01196,3233, ,EDSEL, ,2019/09/18 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,20014587,-83.163473,42.264386,80
,,DEM2019-01197,26121,,W. OUTER DRIVE,,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,81
-83.145835,42.35392,DEM2019-01198,8126, ,CENTRAL, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,16024835,-83.145835,42.35392,82
-83.130872,42.352794,DEM2019-01199,7677, ,EPWORTH, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,16014946,-83.130872,42.352794,83
-83.128694,42.341511,DEM2019-01207,6328,,Pittsburg,,2019/03/13 00:00:00+00,wreck and remove,"RODRIGUEZ, AITZA", ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,18003192,-83.128694,42.341511,84
-83.160306,42.272661,DEM2019-01208,12797, ,DOWNING, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,20018378,-83.160306,42.272661,85
-83.130525,42.300427,DEM2019-01210,9104, ,CHAMBERLAIN, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,20002421,-83.130525,42.300427,86
-83.12292,42.360644,DEM2019-01211,4907, ,MAPLEWOOD, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,14002420,-83.12292,42.360644,87
,,DEM2019-01212,6438, ,PELOUZE, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,88
-83.108291,42.311479,DEM2019-01213,6355, ,REGULAR, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,18000811,-83.108291,42.311479,89
-83.127689,42.339939,DEM2019-01214,6334, ,GLADYS, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,18003055,-83.127689,42.339939,90
-83.129145,42.33993,DEM2019-01215,6427, ,MCGRAW, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,18003067,-83.129145,42.33993,91
-83.105079,42.336103,DEM2019-01216,4029, ,SCOTTEN, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,14009976,-83.105079,42.336103,92
,,DEM2019-01217,720, ,BEARD, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,,,,93
-83.143995,42.334837,DEM2019-01218,5635, ,LUMLEY, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,20008661,-83.143995,42.334837,94
-83.151369,42.276417,DEM2019-01219,1655, ,LIEBOLD, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,20013758.008,-83.151369,42.276417,95
-83.106761,42.353216,DEM2019-01220,6609, ,ROOSEVELT, ,2019/03/13 00:00:00+00,wreck and remove,DETROIT LAND BANK AUTHORITY, ,HOMRICH  WRECKING (2019),"65 CADILLAC SQ., SUITE # 2701",Permit Issuance,Issued,12010225,-83.106761,42.353216,96
